city,state,country
New York,New York,United States
London,,United Kingdom
Tokyo,,Japan
Paris,,France
Sydney,New South Wales,Australia
Toronto,Ontario,Canada
Berlin,,Germany
Mumbai,Maharashtra,India
São Paulo,São Paulo,Brazil
Lagos,,Nigeria
Shanghai,,China
Moscow,,Russia
Mexico City,,Mexico
Cairo,,Egypt
Seoul,,South Korea
Istanbul,,Turkey
Buenos Aires,,Argentina
Nairobi,,Kenya
Bangkok,,Thailand
Dubai,,United Arab Emirates
Singapore,,Singapore
Stockholm,,Sweden
Amsterdam,,Netherlands
Rome,,Italy
Barcelona,,Spain
Zurich,,Switzerland
Warsaw,,Poland
Vienna,,Austria
Oslo,,Norway
Helsinki,,Finland
Cape Town,Western Cape,South Africa
Auckland,,New Zealand
Dublin,,Ireland
Prague,,Czech Republic
Budapest,,Hungary
Lisbon,,Portugal
Accra,,Ghana
Bogotá,,Colombia
Lima,,Peru
Santiago,,Chile
San Francisco,California,United States
Chicago,Illinois,United States
Seattle,Washington,United States
Austin,Texas,United States
Denver,Colorado,United States
Boston,Massachusetts,United States
Miami,Florida,United States
Vancouver,British Columbia,Canada
Montreal,Quebec,Canada
Melbourne,Victoria,Australia
Osaka,,Japan
Delhi,Delhi,India
Bangalore,Karnataka,India
Johannesburg,Gauteng,South Africa
Casablanca,,Morocco
Manila,,Philippines
Jakarta,,Indonesia
Kuala Lumpur,,Malaysia
Ho Chi Minh City,,Vietnam
Taipei,,Taiwan
Kyoto,,Japan
Munich,,Germany
Hamburg,,Germany
Copenhagen,,Denmark
Edinburgh,,United Kingdom
Manchester,,United Kingdom
Milan,,Italy
Lyon,,France
Marseille,,France
Krakow,,Poland
Dar es Salaam,,Tanzania
Addis Ababa,,Ethiopia
Dakar,,Senegal
Riyadh,,Saudi Arabia
Tel Aviv,,Israel
Athens,,Greece
Bucharest,,Romania
Portland,Oregon,United States
Nashville,Tennessee,United States
Minneapolis,Minnesota,United States
